iter	Passed	Remaining
400	29514	7286
401	29585	7212
402	29647	7136
403	29713	7060
404	29781	6985
405	29850	6911
406	29916	6835
407	29984	6761
408	30051	6686
409	30113	6610
410	30199	6539
411	30280	6467
412	30361	6395
413	30440	6323
414	30529	6253
415	30616	6182
416	30710	6112
417	30789	6040
418	30856	5965
419	30934	5892
420	31011	5819
421	31089	5746
422	31157	5671
423	31231	5598
424	31299	5523
425	31365	5448
426	31431	5373
427	31508	5300
428	31576	5225
429	31641	5151
430	31712	5077
431	31790	5004
432	31859	4929
433	31932	4856
434	31999	4781
435	32071	4707
436	32148	4634
437	32235	4562
438	32310	4489
439	32372	4414
440	32450	4341
441	32523	4267
442	32602	4194
443	32670	4120
444	32737	4046
445	32816	3973
446	32891	3899
447	32967	3826
448	33032	3752
449	33101	3677
450	33182	3605
451	33259	3532
452	33331	3458
453	33410	3385
454	33483	3311
455	33556	3237
456	33620	3163
457	33689	3089
458	33749	3014
459	33819	2940
460	33887	2866
461	33958	2793
462	34027	2719
463	34090	2644
464	34156	2570
465	34258	2499
466	34342	2426
467	34410	2352
468	34475	2278
469	34546	2205
470	34620	2131
471	34690	2057
472	34758	1984
473	34857	1911
474	34927	1838
475	35001	1764
476	35081	1691
477	35161	1618
478	35243	1545
479	35320	1471
480	35393	1398
481	35464	1324
482	35538	1250
483	35609	1177
484	35672	1103
485	35744	1029
486	35816	956
487	35887	882
488	35966	809
489	36044	735
490	36129	662
491	36219	588
492	36289	515
493	36356	441
494	36428	367
495	36490	294
496	36562	220
497	36631	147
498	36697	73
499	36760	0
