iter	Logloss
251	0.4331341731
252	0.4330593439
253	0.4329927101
254	0.4328939106
255	0.432787167
256	0.432704288
257	0.4326249274
258	0.4325487276
259	0.4324528979
260	0.432382853
261	0.4322991234
262	0.4322192912
263	0.4321484248
264	0.4320753341
265	0.4320229866
266	0.4319669525
267	0.431899229
268	0.4318495962
269	0.4317718688
270	0.4316955813
271	0.4316415568
272	0.4315381793
273	0.4314601283
274	0.4314027384
275	0.4313282108
276	0.4312540103
277	0.4311728535
278	0.4311045632
279	0.4310126394
280	0.4309321923
281	0.430865942
282	0.4307980579
283	0.4307411714
284	0.4306629881
285	0.4305998535
286	0.4305281608
287	0.4304542574
288	0.4303852655
289	0.4303268511
290	0.4302656128
291	0.4301948585
292	0.4300847035
293	0.4300114017
294	0.4299595142
295	0.4298919746
296	0.4298288895
297	0.4297686002
298	0.4297004688
299	0.4296364392
300	0.4295777438
301	0.4295119133
302	0.4294603228
303	0.4293776476
304	0.4293095078
305	0.4292387916
306	0.4291578416
307	0.4290808629
308	0.4290174929
309	0.4289539389
310	0.4288965616
311	0.428824267
312	0.4287636056
313	0.4287079543
314	0.428621584
315	0.4285563538
316	0.4284987086
317	0.4284526839
318	0.4283715642
319	0.4282860477
320	0.4282206301
321	0.4281557618
322	0.4281008708
323	0.4280229907
324	0.4279679059
325	0.4279089418
326	0.4278491139
327	0.4277810982
328	0.4276784751
329	0.4276000761
330	0.4275548918
331	0.4274853025
332	0.4274200791
333	0.4273617437
334	0.4272813158
335	0.4272201343
336	0.4271412238
337	0.4270851044
338	0.4270187446
339	0.4269416132
340	0.4268850791
341	0.4268274369
342	0.4267578621
343	0.4267016569
344	0.4266368859
345	0.426569803
346	0.4265018084
347	0.4264454032
348	0.4263572019
349	0.4263028393
350	0.4262389326
351	0.4261434574
352	0.4260726813
353	0.4260113857
354	0.4259472533
355	0.4258821671
356	0.425841824
357	0.4257565424
358	0.4257127005
359	0.42564692
360	0.4255612459
361	0.4255008179
362	0.4254374567
363	0.4253822016
364	0.4253209289
365	0.4252668683
366	0.4252121505
367	0.4251271191
368	0.4250516032
369	0.4249909244
370	0.4249262198
371	0.4248749733
372	0.4247662894
373	0.4246964241
374	0.4246202809
375	0.4245564612
376	0.4244940933
377	0.4244052403
378	0.4243467527
379	0.4242749268
380	0.424187857
381	0.42412366
382	0.4240584622
383	0.4239944207
384	0.4239342643
385	0.4238728214
386	0.4238110669
387	0.4237519859
388	0.4236842637
389	0.4236290202
390	0.4235740524
391	0.4235013285
392	0.4234425641
393	0.4233802473
394	0.4233200166
395	0.4232684781
396	0.4232134264
397	0.4231527402
398	0.4230796453
399	0.4230010469
400	0.4229256927
401	0.4228663489
402	0.4228060799
403	0.4227419415
404	0.4226866393
405	0.4226098057
406	0.4225535925
407	0.4224815396
408	0.422401172
409	0.422344998
410	0.4222819359
411	0.4222087176
412	0.4221353241
413	0.4220754286
414	0.4220165842
415	0.4219762203
416	0.4219110115
417	0.4218552708
418	0.4217930766
419	0.42174322
420	0.4216831182
421	0.4216065136
422	0.4215733339
423	0.4215180317
424	0.4214637804
425	0.4214024288
426	0.4213593463
427	0.4213080656
428	0.4212481019
429	0.4211901243
430	0.4211283584
431	0.4210738447
432	0.4210074099
433	0.420953726
434	0.4208942249
435	0.4208499366
436	0.4207961765
437	0.4207291159
438	0.4206650029
439	0.4206161339
440	0.4205565239
441	0.4205183117
442	0.4204621622
443	0.4204118904
444	0.4203662398
445	0.4203018991
446	0.4202475344
447	0.4201932544
448	0.4201335085
449	0.4200707285
450	0.4200273145
451	0.4199726352
452	0.4199180591
453	0.4198655702
454	0.4198069492
455	0.4197430217
456	0.4196755518
457	0.4196246168
458	0.4195696292
459	0.4195097422
460	0.4194515882
461	0.419399125
462	0.419329403
463	0.4192537746
464	0.4191775238
465	0.4191163765
466	0.4190433653
467	0.4189872116
468	0.4189392863
469	0.4188893427
470	0.4188305087
471	0.4187629973
472	0.4186980134
473	0.4186411859
474	0.418587718
475	0.4185247459
476	0.4184975294
477	0.4184392793
478	0.4183856508
479	0.4183266242
480	0.4182771801
481	0.4182354793
482	0.4181768811
483	0.4181301473
484	0.418067553
485	0.4180107327
486	0.4179585765
487	0.4178977477
488	0.4178369626
489	0.4177757261
490	0.4177119309
491	0.4176467831
492	0.4175844862
493	0.417528009
494	0.4174802783
495	0.4174148328
496	0.4173543374
497	0.4173024381
498	0.4172439857
499	0.4171943651
