iter	Logloss
0	0.6505050393
1	0.6143878701
2	0.5869854347
3	0.5667114537
4	0.5499574101
5	0.5360759923
6	0.5254283947
7	0.5160788489
8	0.5089364272
9	0.5028633313
10	0.497487588
11	0.4930939482
12	0.4897012057
13	0.4860459283
14	0.4836046725
15	0.481446776
16	0.4794200759
17	0.4778373317
18	0.4762763249
19	0.4751390883
20	0.4741333601
21	0.4727447157
22	0.4717726871
23	0.470857748
24	0.47004214
25	0.4692133692
26	0.4684401158
27	0.4677949094
28	0.4670594688
29	0.4665203416
30	0.4657752005
31	0.4651904488
32	0.464716128
33	0.4641382767
34	0.4635532818
35	0.4631032536
36	0.462571079
37	0.4621499296
38	0.4617852195
39	0.4613717652
40	0.4610945373
41	0.4607456484
42	0.4604498814
43	0.4601567225
44	0.4598916216
45	0.4596075891
46	0.4592593792
47	0.4589440922
48	0.4585502339
49	0.4583164709
50	0.4580130093
51	0.4577823813
52	0.4574744747
53	0.4571440638
54	0.4567671367
55	0.4565335154
56	0.4562609282
57	0.4560582186
58	0.4558221141
59	0.4555628823
60	0.4552498327
61	0.4550669827
62	0.4548759464
63	0.4546780151
64	0.4544829377
65	0.4542899794
66	0.4540931556
67	0.4538591124
68	0.4536887783
69	0.4534099823
70	0.4532631629
71	0.4530149029
72	0.4528695922
73	0.4527222239
74	0.4525874911
75	0.4524224398
76	0.4522615527
77	0.4520955389
78	0.4519411017
79	0.4517433935
80	0.4515107701
81	0.4513585738
82	0.451155758
83	0.4509599511
84	0.4507694263
85	0.4506050922
86	0.4504880214
87	0.4503708107
88	0.4502272921
89	0.4500828599
90	0.4499345411
91	0.4497904921
92	0.4496902854
93	0.4494221987
94	0.4492879784
95	0.4491672814
96	0.4490049445
97	0.4488909725
98	0.4487647946
99	0.448659589
100	0.4484824753
101	0.4482771286
102	0.448162297
103	0.4479949878
104	0.4478454661
105	0.4477429756
106	0.447622836
107	0.4475085848
108	0.4474068767
109	0.4472640399
110	0.4470697974
111	0.4469207118
112	0.4468113387
113	0.4466692601
114	0.446519129
115	0.4463826278
116	0.4462810127
117	0.446153689
118	0.4460477718
119	0.445940652
120	0.4458405225
121	0.4456931357
122	0.4455750481
123	0.4454576066
124	0.4453145824
125	0.4452149351
126	0.4450560732
127	0.4449282745
128	0.4447996868
129	0.4446852879
130	0.4445987544
131	0.4444771895
132	0.444289031
133	0.4441654444
134	0.4440554546
135	0.443946736
136	0.4438136834
137	0.4436862052
138	0.4435623282
139	0.4434485427
140	0.4433569166
141	0.443238024
142	0.4431205003
143	0.4429978421
144	0.4428778126
145	0.4427784492
146	0.442637841
147	0.4425323691
148	0.4423689062
149	0.4422491172
150	0.4421542035
151	0.4420541821
152	0.4419302203
153	0.4418490927
154	0.4417571614
155	0.4416745326
156	0.4415522793
157	0.4414219267
158	0.4413166897
159	0.4412086244
160	0.4410805784
161	0.4409601709
162	0.4408776934
163	0.4407739708
164	0.4406682335
165	0.4405510185
166	0.4404701273
167	0.440361958
168	0.440275215
169	0.4401912833
170	0.4400862563
171	0.439960843
172	0.4398875956
173	0.4397791811
174	0.4396960098
175	0.4396034088
176	0.4395047639
177	0.439417098
178	0.4393334941
179	0.439206316
180	0.4390812326
181	0.4389525301
182	0.4388524794
183	0.4387564776
184	0.4386638569
185	0.4385919627
186	0.4384907362
187	0.4383972124
188	0.4382974349
189	0.438211787
190	0.4381248425
191	0.4380454783
192	0.4379597421
193	0.4378907022
194	0.4377813909
195	0.4377005149
196	0.4376268688
197	0.4375551196
198	0.4374638601
199	0.437383184
200	0.4373064328
201	0.4372140991
202	0.4371398395
203	0.4370213295
204	0.4369196776
205	0.4368377103
206	0.4367459657
207	0.4366623001
208	0.436575622
209	0.4364776008
210	0.4363579398
211	0.4362762759
212	0.4362023445
213	0.4361101057
214	0.4360355446
215	0.435952912
216	0.4358585984
217	0.4357309762
218	0.435666115
219	0.4356018783
220	0.4355261791
221	0.4354329117
222	0.4353666457
223	0.4352860546
224	0.4352067138
225	0.435132254
226	0.4350412814
227	0.4349647319
228	0.4348599415
229	0.4347749659
230	0.4346977345
231	0.4346325985
232	0.4345290158
233	0.4344409653
234	0.4343868312
235	0.4343118233
236	0.4342511187
237	0.43417799
238	0.4341034862
239	0.4340335056
240	0.4339348976
241	0.4338553138
242	0.4337955453
243	0.4337160679
244	0.4336232507
245	0.4335507179
246	0.4334889334
247	0.4334220526
248	0.4333595368
249	0.4332795383
250	0.4332041957
